Criterion,Weight,Weight (%)
Online boarding,0.3184927858723786,31.849278587237862
Ease of Online booking,0.3184927858723786,31.849278587237862
Seat comfort,0.12914249718724752,12.914249718724752
Cleanliness,0.12914249718724752,12.914249718724752
Inflight entertainment,0.05236471694037397,5.236471694037397
Food and drink,0.05236471694037393,5.236471694037393
